date,state,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage
20200912,HI,59,30
20200914,AK,6,24
20200402,NH,,0
20200525,TX,,0
20201104,HI,6,25
20200425,UT,,0
20200410,DE,,0
20200427,IA,,0
20200912,AL,117,111
20201015,IA,67,123
20201007,MS,99,102
20200529,NV,,0
20200518,MS,0,1
20201006,KS,81,148
20200404,GA,,0
20200718,FL,817,221
20201016,NV,46,63
20201122,NC,202,131
20200709,UT,,0
20200514,HI,0,11
20201102,OK,223,147
20200725,VI,0,2
20200627,WI,,0
20200503,WA,,0
20200426,HI,0,16
20201005,WV,16,63
20200805,HI,17,23
20200530,KY,,0
20200320,MO,,0
20201001,TN,126,133
20201102,SD,54,64
20200914,ME,1,36
20201002,MA,42,102
20200711,MA,,0
20200729,CO,49,81
20200713,DE,,0
20200629,MO,,0
20201126,LA,175,215
20200507,KY,,0
20201105,AK,15,24
20200627,GA,,0
20200526,VI,,0
20201125,PA,574,227
20201021,CA,320,418
20201109,HI,5,22
20200327,PR,,0
20200802,NC,67,111
20201019,NH,2,30
20200430,VA,,0
20201031,OR,17,63
20201104,OK,238,153
20201116,CT,83,32
20200702,WV,,0
20200508,WI,,0
20200426,ND,,0
20200630,OR,,0
20201025,NE,55,95
20200814,PR,18,64
20200918,RI,5,14
20200716,OH,122,66
20200706,LA,50,114
20201028,GA,301,169
20201127,IA,134,126
20200611,TX,,0
20201119,NV,147,62
20200704,MS,,0
20200416,DC,,0
20200318,OH,,0
20201006,ME,0,38
20201120,ME,19,39
20201201,MD,226,53
20201108,IA,153,125
20200708,OR,,0
20200715,UT,18,33
20200503,TX,,0
20201203,WV,55,63
20200525,WA,,0
20200806,MI,39,134
20201001,PA,76,213
20200321,TX,,0
20200628,IL,,0
20201117,WI,511,145
20200916,NJ,24,79
20200806,TN,146,113
20201020,NC,160,125
20200827,SD,22,55
20200424,FL,,0
20200325,AL,,0
20200708,NJ,,0
20200803,NJ,27,60
20200727,NH,5,25
20200721,ME,3,24
20200401,IL,,0
20200603,OK,,0
20201101,ME,4,39
20200909,WA,31,99
20200909,MT,20,59
20200918,ID,17,49
20200426,ID,,0
20200620,SD,,0
20200705,MN,,0
20201113,DC,11,14
20201101,IN,202,161
20200917,ID,12,50
20201116,MN,215,131
20201110,WA,65,97
20200819,WV,27,63
20200930,NE,30,91
20200910,KS,32,147
20201115,WI,472,148
20200320,FL,,0
20200812,IA,46,121
20200518,CT,,0
20200409,RI,,0
20200713,MD,,0
20200503,NC,,0
20200803,CT,7,30
20200713,MS,,0
20200726,WY,1,18
20201104,NJ,146,93
20200911,TX,384,557
20200620,RI,0,1
20200515,IN,,0
20201120,NY,493,200
20200527,NJ,,0
20200328,AZ,,0
20200531,NH,,0
20200505,IN,,0
20200914,WA,30,99
20200923,KY,285,114
20200415,AK,,0
20200427,TX,,0
20201024,DE,9,16
20200901,CA,455,384
20200731,NJ,55,59
20201127,MS,120,108
20200418,TX,,0
20201030,SC,74,85
20201110,NJ,222,79
20200911,NJ,30,79
20200326,OK,,0
20200705,NV,,0
20200505,NH,,0
20201109,VT,1,16
20200419,SD,,0
20200329,HI,4,24
20200605,VA,,0
20200426,UT,,0
20201125,WV,76,63
20200607,TX,,0
20200512,UT,,0
20200816,MO,93,132
20200707,TN,,0
20200810,PA,83,158
20201114,KS,151,149
20200824,MO,87,139
20201202,IA,141,126
20200830,ID,10,49
20200614,NC,,0
20200724,NJ,31,50
20200331,ID,,0
20200526,NE,,0
20200720,AR,41,58
20200828,NY,80,168
20200802,AK,1,21
20200518,WI,,0
20200921,VT,0,17
20201130,PA,634,194
20200503,IA,8,37
20200724,VA,44,64
20201003,NY,101,175
20200523,WV,,0
20200710,NC,,0
20200811,ND,10,48
20200825,DC,12,14
20201022,VA,64,108
20200908,NY,82,173
20200809,WA,25,69
20200406,CT,,0
20200921,NV,38,60
20200816,NE,9,77
20200612,NM,,0
20200525,KY,,0
20201017,AK,8,23
20200824,IN,84,136
20200915,VA,70,100
20200820,LA,121,192
20200923,NM,10,51
20200628,WY,,0
20200823,NV,49,61
20200719,VI,2,2
20201016,LA,79,204
20201029,OR,28,64
20200726,FL,708,241
20200315,NY,,0
20200408,SD,,0
20201029,NC,147,129
