previous_day_admission_adult_covid_confirmed,total_adult_patients_hospitalized_confirmed_covid,staffed_icu_adult_patients_confirmed_covid,previous_day_admission_adult_covid_confirmed_coverage,total_adult_patients_hospitalized_confirmed_covid_coverage,staffed_icu_adult_patients_confirmed_covid_coverage,state_and_date,date,state,inIcuCurrently,onVentilatorCurrently,TotalDeaths
5,112,35,35,42,42,OR20200726,20200726,OR,48,30,282
,,,0,0,0,WI20200714,20200714,WI,83,,826
,,,0,0,0,OH20200429,20200429,OH,426,275,937
20,163,40,29,30,25,NJ20200715,20200715,NJ,146,64,13660
,,,0,0,0,NJ20200714,20200714,NJ,151,77,13635
,2,,0,22,0,OK20200616,20200616,OK,70,,363
711,5547,1604,582,582,581,TX20201026,20201026,TX,nan,,17514
,,,0,0,0,MN20200331,20200331,MN,26,,12
30,262,91,92,86,83,NE20201003,20201003,NE,nan,,497
,,,0,0,0,WI20200308,,,,,
,,,0,0,0,PR20200314,,,,,
38,221,57,123,123,123,IA20200809,20200809,IA,57,23,931
60,422,123,130,132,131,WI20200812,20200812,WI,111,,1011
241,2045,680,84,100,86,GA20200723,20200723,GA,nan,,3360
63,743,242,61,61,60,NV20200821,20200821,NV,246,140,1185
26,143,52,50,49,49,ID20200929,20200929,ID,50,,464
,,,0,0,0,AK20200326,20200326,AK,nan,,1
,264,,0,32,0,CA20200712,20200712,CA,1806,,7017
,,0,0,0,18,AK20200523,20200523,AK,nan,0,10
,,,0,0,0,IN20200506,20200506,IN,525,281,1264
,,,0,0,0,VA20200626,20200626,VA,219,99,1700
,,,0,0,0,ID20200505,20200505,ID,nan,,65
0,12,0,6,27,11,NE20200615,20200615,NE,nan,,220
132,877,210,99,99,99,NE20201111,20201111,NE,nan,,731
94,602,152,125,125,125,IA20201029,20201029,IA,152,55,1696
,,,0,0,0,ME20200507,20200507,ME,16,11,62
,,,0,0,0,MO20200423,20200423,MO,nan,,218
,,,0,0,0,NM20200420,20200420,NM,nan,,58
76,262,48,30,20,15,HI20200825,20200825,HI,nan,,49
,,,0,0,0,SD20200713,20200713,SD,nan,,109
,,,0,0,0,MO20200430,20200430,MO,nan,141,329
